Month, 2005, 2006,2007,2008,2009,2010,2011,2012,2013,2014
jan,127,123,124,105,102,180,197,149,166,434
feb,79,161,160,100,94,97,193,152,177,110
mar,68,156,163,69,90,74,102,96,199,53
apr,180,137,141,150,185,122,162,83,117,180
may,249,149,278,227,466,228,276,304,200,210
jun,350,289,384,433,331,331,402,405,392,434
jul,447,383,457,466,332,402,405,367,434,257
aug,251,281,328,466,331,288,362,316,346,291
sep,228,428,247,316,289,300,330,356,305,199
oct,266,297,279,304,230,294,289,262,217,222
nov,175,239,261,257,132,266,288,243,198,169
dec,163,150,177,190,144,173,192,176,139,151
