Month, 2005, 2006,2007,2008,2009,2010,2011,2012,2013,2014
Jan, 50.3,52.6,50.0,49.8,54.1,51.7,51.7,52.9,50.8,56.5
Feb, 55.9,54.7,53.0,53.2,52.9,54.5,52.0,53.9,52.4,54.4
Mar, 57.5,50.9,57.0,54.5,54.1,55.2,54.4,53.2,55.0,58.3
Apr, 55.9,54.9,55.4,54.9,55.9,55.0,55.3,56.2,57.6,57.9
May, 59.1,57.4,57.3,57.6,57.7,56.2,55.7,56.9,58.7,60.3
June,59.3,60.2,59.1,59.6,60.5,59.3,58.8,59.3,60.4,59.8
July, 61.0,61.7,61.5,60.5,59.2,58.4,60.1,59.5,60.5,62.8
Aug, 59.8,59.6,62.0,61.9,62.6,59.3,59.9,59.1,61.3,62.9
Sep, 59.7,59.6,63.4,63.4,63.5,63.2,62.5,58.1,63.5,64.5
Oct, 60.5,60.7,60.4,63.4,61.1,60.6,63.3,62.3,59.8,65.2
Nov, 60.3,56.3,57.3,59.1,57.4,56.1,54.7,58.3,57.7,59.8
Dec, 55.5,52.4,50.8,50.4,50.3,53.1,52.3,52.1,51.8,56.3
