Month, 2005, 2006,2007,2008,2009,2010,2011,2012,2013,2014
jan,4.82,3.52,0.72,8.86,0.90,6.66,1.55,2.68,0.49,0.06
feb,5.31,2.81,4.79,1.87,7.92,3.42,4.94,1.09,0.85,5.82
mar,5.19,8.74,0.52,0.33,2.76,2.79,7.02,5.71,0.97,2.95
apr,4.67,5.02,1.44,0.14,0.24,3.59,0.56,2.74,1.01,1.59
may,2.19,0.41,0.43,0.03,0.80,0.95,1.13,0.02,0.04,0.03
jun,1.32,0.00,0.00,0.00,0.00,0.07,2.02,0.1,0.15,0.01
jul,0.94,0.00,0.02,0.00,0.00,0.00,0.08,0.01,0.49,0.08
aug,0.02,0.00,0.00,0.01,0.00,0.01,0.03,0.01,0.04,0.01
sep,0.01,0.00,0.09,0.00,0.28,0.02,0.00,0.00,0.39,0.55
oct,0.00,0.63,2.01,0.35,3.11,1.81,1.38,1.47,0.00,0.46
nov,0.51,3.05,0.96,2.31,0.45,3.1,1.74,4.50,1.2,2.29
dec,2.21,5.31,3.16,2.82,2.77,6.71,0.14,7.11,0.49,0.06
